TransmitterID,anchorID, Avg, Distance
rpi8, rpi9,-54.625,2.254
rpi8, rpi4,-68.2,3.43
rpi8, rpi12,-54.1,3.45
rpi8, rpi10,-68.3,5.184
rpi8, rpi16,-64.95,5.468
rpi8, rpi17,-70.475,6.169
rpi8, rpi13,-60.825,7.03
rpi8, rpi18,-74.2,7.901
rpi8, rpi15,-67.2,8.436
rpi8, rpi21,-73.875,8.731
rpi8, rpi19,-77.15,9.317
rpi8, rpi24,-76.475,11.318
rpi17, rpi16,-64.0,1.76
rpi17, rpi18,-62.725,2.53
rpi17, rpi19,-55.925,3.521
rpi17, rpi9,-60.85,3.793
rpi17, rpi13,-59.975,3.847
rpi17, rpi21,-62.05,3.981
rpi17, rpi12,-66.35,4.253
rpi17, rpi8,-69.475,6.169
rpi17, rpi10,-64.4,7.756
rpi17, rpi15,-71.6,7.991
rpi17, rpi4,-66.3,9.105
rpi17, rpi24,-68.725,9.961
rpi10, rpi15,-62.125,3.607
rpi10, rpi4,-71.325,3.65
rpi10, rpi12,-54.575,3.801
rpi10, rpi8,-66.125,5.184
rpi10, rpi13,-55.375,5.298
rpi10, rpi9,-60.425,5.844
rpi10, rpi16,-51.0,6.092
rpi10, rpi24,-70.05,6.607
rpi10, rpi17,-61.275,7.756
rpi10, rpi21,-63.4,7.862
rpi10, rpi18,-68.775,10.248
rpi10, rpi19,-72.15,10.64
rpi18, rpi19,-62.925,2.45
rpi18, rpi17,-58.5,2.53
rpi18, rpi16,-65.6,4.29
rpi18, rpi9,-62.725,5.449
rpi18, rpi13,-71.075,6.242
rpi18, rpi21,-65.675,6.606
rpi18, rpi12,-52.4,6.612
rpi18, rpi8,-71.75,7.901
